task_a,task_b,pair,text_cosine_distance,behavior_cosine_distance,text_distance_percentile,behavior_distance_percentile,text_close_behavior_far,behavior_close_text_far
Recent Probes,go/no-go task,Recent Probes <-> go/no-go task,0.5230119434936806,0.20073955393290466,0.25792811839323465,0.48414376321353064,0.226215644820296,-0.226215644820296
Verbal Digit/Letter WM,recent probes task,Verbal Digit/Letter WM <-> recent probes task,0.28870642059169227,0.1652300383235923,0.05496828752642706,0.28118393234672306,0.226215644820296,-0.226215644820296
Associative Recognition (Intact vs Rearranged),multi-step sequential decision task,Associative Recognition... <-> multi-step sequential d...,0.6655175598838252,0.49597840244141356,0.7579281183932347,0.9830866807610994,0.2251585623678647,-0.2251585623678647
go/no-go,recent probes task,go/no-go <-> recent probes task,0.5204146147100477,0.19927080099123695,0.25158562367864695,0.47674418604651164,0.2251585623678647,-0.2251585623678647
Recent Probes,digit span,Recent Probes <-> digit span,0.27822681805589156,0.1633292677011009,0.052854122621564484,0.2748414376321353,0.22198731501057084,-0.22198731501057084
Verbal Digit/Letter WM,exp7,Verbal Digit/Letter WM <-> exp7,0.5410757989094115,0.21284056383722383,0.3266384778012685,0.5465116279069767,0.21987315010570824,-0.21987315010570824
Contextual Bandit,exp0,Contextual Bandit <-> exp0,0.49963903264950593,0.18732751222369504,0.19978858350951373,0.4164904862579281,0.2167019027484144,-0.2167019027484144
Fixed-Set Intertemporal Choice,digit span,Fixed-Set Intertemporal... <-> digit span,0.5332246903602781,0.2045884983932591,0.2917547568710359,0.507399577167019,0.2156448202959831,-0.2156448202959831
Multi-Step Sequential RL (3+ states),associative recognition,Multi-Step Sequential R... <-> associative recognition,0.6693238460360231,0.501004798117018,0.7684989429175476,0.9841437632135307,0.2156448202959831,-0.2156448202959831
balloon analogue risk task,exp7,balloon analogue risk t... <-> exp7,0.6406336598161779,0.3206530409182097,0.6797040169133193,0.8932346723044398,0.21353065539112048,-0.21353065539112048
exp0,intertemporal choice,exp0 <-> intertemporal choice,0.5696562237272159,0.22922083286070316,0.43868921775898523,0.6501057082452432,0.21141649048625794,-0.21141649048625794
digit span,recent probes task,digit span <-> recent probes task,0.29598083717975143,0.16224150696719675,0.05708245243128964,0.26849894291754756,0.2114164904862579,-0.2114164904862579
exp0,two-armed bandit task,exp0 <-> two-armed bandit task,0.5064491204527793,0.18800946265584895,0.21458773784355178,0.4249471458773784,0.21035940803382663,-0.21035940803382663
exp7,intertemporal choice,exp7 <-> intertemporal choice,0.5929497229850722,0.2518239702206052,0.5338266384778013,0.7441860465116279,0.21035940803382658,-0.21035940803382658
Two-Step Task (Daw),exp,Two-Step Task (Daw) <-> exp,0.5498769393854716,0.21502174444700672,0.35517970401691334,0.5655391120507399,0.21035940803382658,-0.21035940803382658
Recent Probes,go/no-go,Recent Probes <-> go/no-go,0.527920142524994,0.2006873538638414,0.273784355179704,0.48308668076109934,0.20930232558139533,-0.20930232558139533
Four-Armed Bandit,multi-step sequential decision task,Four-Armed Bandit <-> multi-step sequential d...,0.42370300925283566,0.16943089897345787,0.09619450317124736,0.3033826638477801,0.20718816067653276,-0.20718816067653276
contextual bandit task,exp0,contextual bandit task <-> exp0,0.49385479174855706,0.18420059152084778,0.18816067653276955,0.39429175475687106,0.2061310782241015,-0.2061310782241015
