task_a,task_b,pair,text_cosine_distance,behavior_cosine_distance,text_distance_percentile,behavior_distance_percentile,text_close_behavior_far,behavior_close_text_far
digit span,two-step task,digit span <-> two-step task,0.5990369836277334,0.23626222259366247,0.5560253699788583,0.6828752642706131,0.12684989429175475,-0.12684989429175475
Two-Step Task (Daw),four-armed bandit task,Two-Step Task (Daw) <-> four-armed bandit task,0.5689028365581578,0.21442818655693385,0.4365750528541226,0.5602536997885835,0.1236786469344609,-0.1236786469344609
Balloon Analogue Risk Task (BART),Two-Step Task (Daw),Balloon Analogue Risk T... <-> Two-Step Task (Daw),0.6665604697398426,0.31366254378087866,0.7610993657505285,0.8837209302325582,0.12262156448202965,-0.12262156448202965
balloon analogue risk task,exp1,balloon analogue risk t... <-> exp1,0.658610820694845,0.3034619468381117,0.7357293868921776,0.8583509513742071,0.12262156448202954,-0.12262156448202954
associative recognition,contextual bandit task,associative recognition <-> contextual bandit task,0.6936978229120354,0.45960150192878413,0.8255813953488372,0.9482029598308668,0.12262156448202954,-0.12262156448202954
Verbal Digit/Letter WM,balloon analogue risk task,Verbal Digit/Letter WM <-> balloon analogue risk t...,0.6421169417096351,0.26981749393830057,0.6849894291754757,0.806553911205074,0.12156448202959835,-0.12156448202959835
go/no-go,two-step task,go/no-go <-> two-step task,0.5774974864118922,0.2185662365259965,0.46723044397463004,0.5887949260042283,0.1215644820295983,-0.1215644820295983
balloon analogue risk task,contextual bandit task,balloon analogue risk t... <-> contextual bandit task,0.5709888670015963,0.21499956712044732,0.44608879492600423,0.5644820295983086,0.11839323467230439,-0.11839323467230439
Four-Armed Bandit,Two-Step Task (Daw),Four-Armed Bandit <-> Two-Step Task (Daw),0.5745416209020784,0.2158918051134756,0.45454545454545453,0.5718816067653277,0.1173361522198732,-0.1173361522198732
Recent Probes,exp0,Recent Probes <-> exp0,0.675805907549779,0.3333454521658398,0.7801268498942917,0.8974630021141649,0.11733615221987315,-0.11733615221987315
Route Learning / Decision-Point Navigation,two-armed bandit task,Route Learning / Decisi... <-> two-armed bandit task,0.5692390194594519,0.21402535187571048,0.4376321353065539,0.554968287526427,0.11733615221987309,-0.11733615221987309
Balloon Analogue Risk Task (BART),exp5,Balloon Analogue Risk T... <-> exp5,0.5712658093329183,0.21461772936699586,0.44714587737843553,0.5634249471458774,0.1162790697674419,-0.1162790697674419
exp4,go/no-go,exp4 <-> go/no-go,0.5309824321535939,0.1854955814159508,0.2843551797040169,0.40063424947145876,0.11627906976744184,-0.11627906976744184
Recent Probes,balloon analogue risk task,Recent Probes <-> balloon analogue risk t...,0.6237573016052841,0.25243435192093777,0.6289640591966174,0.7452431289640592,0.11627906976744184,-0.11627906976744184
Associative Recognition (Intact vs Rearranged),exp,Associative Recognition... <-> exp,0.6928381939225323,0.4424443826181039,0.8245243128964059,0.9408033826638478,0.11627906976744184,-0.11627906976744184
Balloon Analogue Risk Task (BART),four-armed bandit task,Balloon Analogue Risk T... <-> four-armed bandit task,0.5437554835123547,0.19292046813688313,0.33192389006342493,0.44714587737843553,0.1152219873150106,-0.1152219873150106
four-armed bandit task,two-step task,four-armed bandit task <-> two-step task,0.5705544478175238,0.21430968174756337,0.4429175475687104,0.5581395348837209,0.11522198731501054,-0.11522198731501054
Associative Recognition (Intact vs Rearranged),two-armed bandit task,Associative Recognition... <-> two-armed bandit task,0.7084218011546305,0.4783173888443013,0.854122621564482,0.9693446088794926,0.11522198731501054,-0.11522198731501054
intertemporal choice,weather prediction task,intertemporal choice <-> weather prediction task,0.5536671942261234,0.20140859236147213,0.3763213530655391,0.4904862579281184,0.1141649048625793,-0.1141649048625793
multi-step sequential decision task,n-back,multi-step sequential d... <-> n-back,0.5485004622275282,0.19521339298120266,0.3477801268498943,0.4608879492600423,0.113107822410148,-0.113107822410148
balloon analogue risk task,category learning task,balloon analogue risk t... <-> category learning task,0.6603458099690125,0.3010383972413475,0.741014799154334,0.8530655391120507,0.11205073995771675,-0.11205073995771675
exp4,go/no-go task,exp4 <-> go/no-go task,0.5348599812121149,0.18623071417238357,0.29704016913319237,0.4090909090909091,0.11205073995771675,-0.11205073995771675
exp7,multi-step sequential decision task,exp7 <-> multi-step sequential d...,0.4603983008680139,0.15773798841482756,0.1321353065539112,0.2441860465116279,0.1120507399577167,-0.1120507399577167
balloon analogue risk task,digit span,balloon analogue risk t... <-> digit span,0.6375656146073088,0.2593205247312411,0.6701902748414377,0.7822410147991543,0.11205073995771664,-0.11205073995771664
Fixed-Set Intertemporal Choice,Weather Prediction Task (Cards),Fixed-Set Intertemporal... <-> Weather Prediction Task...,0.5572439496049095,0.20435829031309938,0.39217758985200846,0.5031712473572939,0.11099365750528545,-0.11099365750528545
Balloon Analogue Risk Task (BART),intertemporal choice,Balloon Analogue Risk T... <-> intertemporal choice,0.6299900257908106,0.2547281748497805,0.6490486257928119,0.758985200845666,0.10993657505285415,-0.10993657505285415
Two-Armed Bandit,associative recognition,Two-Armed Bandit <-> associative recognition,0.7173141688523244,0.4810582761844935,0.8699788583509513,0.9788583509513742,0.10887949260042284,-0.10887949260042284
Go/No-Go (withhold),Two-Step Task (Daw),Go/No-Go (withhold) <-> Two-Step Task (Daw),0.5865214920616469,0.22352709401621818,0.5105708245243129,0.6194503171247357,0.10887949260042284,-0.10887949260042284
exp4,multi-step sequential decision task,exp4 <-> multi-step sequential d...,0.42930498696210373,0.15291286501829526,0.10359408033826638,0.2124735729386892,0.10887949260042283,-0.10887949260042283
Verbal Digit/Letter WM,two-step task,Verbal Digit/Letter WM <-> two-step task,0.6193122210913122,0.2474229086606584,0.6173361522198731,0.7251585623678647,0.10782241014799154,-0.10782241014799154
balloon analogue risk task,recent probes task,balloon analogue risk t... <-> recent probes task,0.6286406885359155,0.25343219878004697,0.6405919661733616,0.7473572938689218,0.10676532769556024,-0.10676532769556024
multi-step sequential decision task,route learning,multi-step sequential d... <-> route learning,0.47519097263765664,0.16142155703414818,0.1522198731501057,0.25898520084566595,0.10676532769556024,-0.10676532769556024
exp0,exp4,exp0 <-> exp4,0.4567509313755611,0.15551429999772393,0.12579281183932348,0.23044397463002114,0.10465116279069767,-0.10465116279069767
Associative Recognition (Intact vs Rearranged),balloon analogue risk task,Associative Recognition... <-> balloon analogue risk t...,0.7267267568887081,0.5058282961959244,0.8826638477801269,0.9873150105708245,0.10465116279069764,-0.10465116279069764
Associative Recognition (Intact vs Rearranged),contextual bandit task,Associative Recognition... <-> contextual bandit task,0.7040050748509716,0.46293242011918534,0.8488372093023255,0.952431289640592,0.10359408033826645,-0.10359408033826645
Four-Armed Bandit,two-step task,Four-Armed Bandit <-> two-step task,0.5788372580901432,0.216039076717762,0.4714587737843552,0.5750528541226215,0.10359408033826634,-0.10359408033826634
Route Learning / Decision-Point Navigation,intertemporal choice,Route Learning / Decisi... <-> intertemporal choice,0.60710296870112,0.23758993995746003,0.5845665961945031,0.686046511627907,0.10147991543340384,-0.10147991543340384
Weather Prediction Task (Cards),choice task,Weather Prediction Task... <-> choice task,0.5477657344934754,0.1914274694417064,0.34249471458773784,0.4429175475687104,0.10042283298097254,-0.10042283298097254
Contextual Bandit,associative recognition,Contextual Bandit <-> associative recognition,0.7060121005664026,0.4610579268429944,0.8498942917547568,0.9503171247357294,0.10042283298097254,-0.10042283298097254
columbia card task,four-armed bandit task,columbia card task <-> four-armed bandit task,0.565617426392043,0.20799262172834,0.42177589852008457,0.5211416490486258,0.09936575052854124,-0.09936575052854124
balloon analogue risk task,four-armed bandit task,balloon analogue risk t... <-> four-armed bandit task,0.5411032244790056,0.1884343526578971,0.3276955602536998,0.427061310782241,0.09936575052854124,-0.09936575052854124
Route Learning / Decision-Point Navigation,multi-step sequential decision task,Route Learning / Decisi... <-> multi-step sequential d...,0.4875728740450992,0.1628212172060549,0.17230443974630022,0.27167019027484146,0.09936575052854124,-0.09936575052854124
exp,two-armed bandit task,exp <-> two-armed bandit task,0.21357238804585577,0.1381812315040163,0.03699788583509514,0.13636363636363635,0.09936575052854121,-0.09936575052854121
associative recognition,balloon analogue risk task,associative recognition <-> balloon analogue risk t...,0.7307828022361149,0.5056307060210938,0.8879492600422833,0.9862579281183932,0.09830866807610994,-0.09830866807610994
Balloon Analogue Risk Task (BART),columbia card task,Balloon Analogue Risk T... <-> columbia card task,0.6557476412962324,0.28064964773008416,0.7283298097251586,0.8255813953488372,0.09725158562367864,-0.09725158562367864
Go/No-Go (withhold),associative recognition,Go/No-Go (withhold) <-> associative recognition,0.6953886641380187,0.4184250672107227,0.8298097251585623,0.9260042283298098,0.09619450317124745,-0.09619450317124745
Two-Armed Bandit,exp,Two-Armed Bandit <-> exp,0.21529781173407248,0.13764714592292449,0.039112050739957716,0.13530655391120508,0.09619450317124736,-0.09619450317124736
Associative Recognition (Intact vs Rearranged),four-armed bandit task,Associative Recognition... <-> four-armed bandit task,0.7036115408955789,0.4537419004458043,0.8477801268498943,0.9439746300211417,0.09619450317124734,-0.09619450317124734
Multi-Step Sequential RL (3+ states),Route Learning / Decision-Point Navigation,Multi-Step Sequential R... <-> Route Learning / Decisi...,0.5003566782692235,0.16784010830090723,0.20190274841437633,0.2959830866807611,0.09408033826638479,-0.09408033826638479
Multi-Step Sequential RL (3+ states),n-back,Multi-Step Sequential R... <-> n-back,0.5581534879225085,0.20144118556058632,0.3974630021141649,0.4915433403805497,0.09408033826638479,-0.09408033826638479
Associative Recognition (Intact vs Rearranged),Balloon Analogue Risk Task (BART),Associative Recognition... <-> Balloon Analogue Risk T...,0.739216216690401,0.5083101363312532,0.8942917547568711,0.9883720930232558,0.09408033826638473,-0.09408033826638473
balloon analogue risk task,intertemporal choice,balloon analogue risk t... <-> intertemporal choice,0.6268207711223965,0.24822891574845551,0.6363636363636364,0.7293868921775899,0.09302325581395354,-0.09302325581395354
digit span,exp5,digit span <-> exp5,0.5218601761110904,0.17610572233006894,0.2547568710359408,0.3477801268498943,0.09302325581395349,-0.09302325581395349
Balloon Analogue Risk Task (BART),Four-Armed Bandit,Balloon Analogue Risk T... <-> Four-Armed Bandit,0.5490866062409142,0.19156035646043768,0.35095137420718814,0.4439746300211416,0.09302325581395349,-0.09302325581395349
Associative Recognition (Intact vs Rearranged),Two-Armed Bandit,Associative Recognition... <-> Two-Armed Bandit,0.7272339884114374,0.4809602137690677,0.8847780126849895,0.9767441860465116,0.09196617336152213,-0.09196617336152213
associative recognition,go/no-go,associative recognition <-> go/no-go,0.6952768293754654,0.41471497798395907,0.828752642706131,0.919661733615222,0.09090909090909094,-0.09090909090909094
Balloon Analogue Risk Task (BART),n-back,Balloon Analogue Risk T... <-> n-back,0.6252621547945452,0.24740348892534447,0.6331923890063424,0.7241014799154334,0.09090909090909094,-0.09090909090909094
associative recognition,go/no-go task,associative recognition <-> go/no-go task,0.6960181207909404,0.41699658957434316,0.8308668076109936,0.9217758985200846,0.09090909090909094,-0.09090909090909094
Balloon Analogue Risk Task (BART),exp1,Balloon Analogue Risk T... <-> exp1,0.6810161281444416,0.31388883735687145,0.7970401691331924,0.8847780126849895,0.08773784355179703,-0.08773784355179703
Associative Recognition (Intact vs Rearranged),Four-Armed Bandit,Associative Recognition... <-> Four-Armed Bandit,0.7094439388929648,0.4549711708186335,0.8583509513742071,0.945031712473573,0.08668076109936584,-0.08668076109936584
Fixed-Set Intertemporal Choice,weather prediction task,Fixed-Set Intertemporal... <-> weather prediction task,0.5625172787024617,0.20166829899026317,0.4059196617336152,0.492600422832981,0.08668076109936579,-0.08668076109936579
Balloon Analogue Risk Task (BART),associative recognition,Balloon Analogue Risk T... <-> associative recognition,0.7438006557097108,0.5090535667137308,0.9027484143763214,0.9894291754756871,0.08668076109936573,-0.08668076109936573
Balloon Analogue Risk Task (BART),category learning task,Balloon Analogue Risk T... <-> category learning task,0.6777825805465626,0.31090737619330466,0.7885835095137421,0.8752642706131079,0.08668076109936573,-0.08668076109936573
Balloon Analogue Risk Task (BART),Fixed-Set Intertemporal Choice,Balloon Analogue Risk T... <-> Fixed-Set Intertemporal...,0.6375658286156264,0.2542804011908004,0.671247357293869,0.7568710359408034,0.08562367864693443,-0.08562367864693443
Four-Armed Bandit,balloon analogue risk task,Four-Armed Bandit <-> balloon analogue risk t...,0.5445246110522709,0.18740460979870943,0.33403805496828753,0.41966173361522197,0.08562367864693443,-0.08562367864693443
Recent Probes,contextual bandit task,Recent Probes <-> contextual bandit task,0.5875774523222933,0.22087164550466276,0.5169133192389006,0.6014799154334038,0.08456659619450324,-0.08456659619450324
balloon analogue risk task,n-back,balloon analogue risk t... <-> n-back,0.6230134065874762,0.24289017111783073,0.6257928118393234,0.7103594080338267,0.08456659619450324,-0.08456659619450324
Two-Armed Bandit,exp5,Two-Armed Bandit <-> exp5,0.3243482002456113,0.13906201197429902,0.0613107822410148,0.14482029598308668,0.08350951374207188,-0.08350951374207188
exp0,exp2,exp0 <-> exp2,0.6726371664171826,0.3036384277647919,0.7758985200845666,0.8594080338266384,0.08350951374207183,-0.08350951374207183
Contextual Bandit,balloon analogue risk task,Contextual Bandit <-> balloon analogue risk t...,0.5822982653358155,0.21590584517928757,0.4904862579281184,0.572938689217759,0.08245243128964064,-0.08245243128964064
choice task,route learning,choice task <-> route learning,0.6077406877977636,0.23214425193610078,0.5887949260042283,0.671247357293869,0.08245243128964064,-0.08245243128964064
Fixed-Set Intertemporal Choice,route learning,Fixed-Set Intertemporal... <-> route learning,0.6226410249556922,0.2416929054828889,0.6247357293868921,0.7071881606765328,0.08245243128964064,-0.08245243128964064
Route Learning / Decision-Point Navigation,choice task,Route Learning / Decisi... <-> choice task,0.6070238511417696,0.23074256024624173,0.5824524312896406,0.6649048625792812,0.08245243128964053,-0.08245243128964053
exp5,two-armed bandit task,exp5 <-> two-armed bandit task,0.30331968143468646,0.13861609872109015,0.05919661733615222,0.14059196617336153,0.08139534883720931,-0.08139534883720931
Associative Recognition (Intact vs Rearranged),Contextual Bandit,Associative Recognition... <-> Contextual Bandit,0.7186294563962409,0.4641557392508575,0.8731501057082452,0.9534883720930233,0.08033826638477803,-0.08033826638477803
Balloon Analogue Risk Task (BART),Verbal Digit/Letter WM,Balloon Analogue Risk T... <-> Verbal Digit/Letter WM,0.6593420356659161,0.2727851423082598,0.7378435517970402,0.8181818181818182,0.08033826638477803,-0.08033826638477803
Balloon Analogue Risk Task (BART),digit span,Balloon Analogue Risk T... <-> digit span,0.6526020635779373,0.26297997164016307,0.7167019027484144,0.7959830866807611,0.07928118393234673,-0.07928118393234673
Balloon Analogue Risk Task (BART),Recent Probes,Balloon Analogue Risk T... <-> Recent Probes,0.644716400663,0.25660958805020906,0.6913319238900634,0.7684989429175476,0.07716701902748424,-0.07716701902748424
Go/No-Go (withhold),exp7,Go/No-Go (withhold) <-> exp7,0.5685817463644874,0.20478041215376153,0.43446088794926,0.5105708245243129,0.07610993657505288,-0.07610993657505288
Two-Armed Bandit,four-armed bandit task,Two-Armed Bandit <-> four-armed bandit task,0.2100485164082746,0.12995300217530592,0.035940803382663845,0.10676532769556026,0.0708245243128964,-0.0708245243128964
associative recognition,exp0,associative recognition <-> exp0,0.7732414913245022,0.5454896392253816,0.9291754756871036,0.9989429175475687,0.06976744186046513,-0.06976744186046513
Fixed-Set Intertemporal Choice,balloon analogue risk task,Fixed-Set Intertemporal... <-> balloon analogue risk t...,0.635249128077156,0.24800855318823056,0.6596194503171248,0.7283298097251586,0.06871035940803383,-0.06871035940803383
Fixed-Set Intertemporal Choice,Route Learning / Decision-Point Navigation,Fixed-Set Intertemporal... <-> Route Learning / Decisi...,0.6230346670168415,0.2391373117180683,0.6268498942917548,0.6955602536997886,0.06871035940803383,-0.06871035940803383
Four-Armed Bandit,Two-Armed Bandit,Four-Armed Bandit <-> Two-Armed Bandit,0.2141471721421332,0.12979833454884593,0.03805496828752643,0.10570824524312897,0.06765327695560254,-0.06765327695560254
Four-Armed Bandit,two-armed bandit task,Four-Armed Bandit <-> two-armed bandit task,0.22237304922293832,0.1305587716777291,0.042283298097251586,0.10993657505285412,0.06765327695560253,-0.06765327695560253
four-armed bandit task,two-armed bandit task,four-armed bandit task <-> two-armed bandit task,0.2178997975660968,0.13005575352246312,0.0412262156448203,0.10782241014799154,0.06659619450317125,-0.06659619450317125
Go/No-Go (withhold),Route Learning / Decision-Point Navigation,Go/No-Go (withhold) <-> Route Learning / Decisi...,0.5769045737464722,0.20911416019704532,0.46405919661733613,0.5295983086680761,0.06553911205073998,-0.06553911205073998
Iowa Gambling Task (IGT),Multi-Step Sequential RL (3+ states),Iowa Gambling Task (IGT) <-> Multi-Step Sequential R...,0.5128918322855242,0.16882449577829728,0.23255813953488372,0.29809725158562367,0.06553911205073995,-0.06553911205073995
exp0,multi-step sequential decision task,exp0 <-> multi-step sequential d...,0.4071158939819213,0.14020038533984314,0.08773784355179703,0.15327695560253699,0.06553911205073995,-0.06553911205073995
Recent Probes,columbia card task,Recent Probes <-> columbia card task,0.6999513832147739,0.35273836583758156,0.8403805496828752,0.904862579281184,0.06448202959830873,-0.06448202959830873
Balloon Analogue Risk Task (BART),recent probes task,Balloon Analogue Risk T... <-> recent probes task,0.6488284124643506,0.2578278164730785,0.7082452431289641,0.7727272727272727,0.06448202959830862,-0.06448202959830862
exp4,intertemporal choice,exp4 <-> intertemporal choice,0.4499947316785693,0.14596753923748917,0.11733615221987315,0.17970401691331925,0.0623678646934461,-0.0623678646934461
Verbal Digit/Letter WM,two-armed bandit task,Verbal Digit/Letter WM <-> two-armed bandit task,0.5424782372319751,0.1839731992829986,0.3298097251585624,0.39217758985200846,0.06236786469344607,-0.06236786469344607
Multi-Step Sequential RL (3+ states),exp0,Multi-Step Sequential R... <-> exp0,0.39686293775546777,0.13948387228570636,0.08350951374207188,0.14587737843551796,0.06236786469344607,-0.06236786469344607
Unidimensional Threshold Rule,recent probes task,Unidimensional Threshol... <-> recent probes task,0.6085960304092923,0.22936216127194364,0.5898520084566596,0.6511627906976745,0.06131078224101483,-0.06131078224101483
Unidimensional Threshold Rule,balloon analogue risk task,Unidimensional Threshol... <-> balloon analogue risk t...,0.6794429264698586,0.3015967497583204,0.7938689217758985,0.8551797040169133,0.06131078224101483,-0.06131078224101483
Iowa Gambling Task (IGT),multi-step sequential decision task,Iowa Gambling Task (IGT) <-> multi-step sequential d...,0.5036698703908222,0.1621402187789085,0.20613107822410148,0.266384778012685,0.060253699788583526,-0.060253699788583526
Columbia Card Task (CCT),Iowa Gambling Task (IGT),Columbia Card Task (CCT) <-> Iowa Gambling Task (IGT),0.48749688117168244,0.1556571883743625,0.17124735729386892,0.23150105708245244,0.060253699788583526,-0.060253699788583526
Associative Recognition (Intact vs Rearranged),exp0,Associative Recognition... <-> exp0,0.7852928329414748,0.5487792602007229,0.9397463002114165,1.0,0.060253699788583526,-0.060253699788583526
Go/No-Go (withhold),exp0,Go/No-Go (withhold) <-> exp0,0.653249787722594,0.2583612058442626,0.7209302325581395,0.7790697674418605,0.058139534883721034,-0.058139534883721034
Balloon Analogue Risk Task (BART),Columbia Card Task (CCT),Balloon Analogue Risk T... <-> Columbia Card Task (CCT),0.6691513244608753,0.2797834998530494,0.766384778012685,0.8245243128964059,0.05813953488372092,-0.05813953488372092
balloon analogue risk task,columbia card task,balloon analogue risk t... <-> columbia card task,0.6624163301147211,0.26990878154925213,0.7494714587737844,0.8076109936575053,0.05813953488372092,-0.05813953488372092
choice task,two-step task,choice task <-> two-step task,0.5900936866139354,0.21748882918374002,0.5232558139534884,0.580338266384778,0.05708245243128962,-0.05708245243128962
choice task,weather prediction task,choice task <-> weather prediction task,0.5522140271225155,0.18797305855980107,0.3668076109936575,0.42283298097251587,0.056025369978858375,-0.056025369978858375
Contextual Bandit,exp4,Contextual Bandit <-> exp4,0.3415612621871126,0.13355502004384356,0.06342494714587738,0.11945031712473574,0.05602536997885836,-0.05602536997885836
Iowa Gambling Task (IGT),columbia card task,Iowa Gambling Task (IGT) <-> columbia card task,0.4881436841971615,0.15514500457194635,0.1733615221987315,0.22832980972515857,0.05496828752642707,-0.05496828752642707
Multi-Step Sequential RL (3+ states),iowa gambling task,Multi-Step Sequential R... <-> iowa gambling task,0.5233794179641359,0.17060386103233371,0.26004228329809725,0.313953488372093,0.05391120507399577,-0.05391120507399577
intertemporal choice,two-step task,intertemporal choice <-> two-step task,0.6071703720496701,0.22732051383227858,0.5856236786469344,0.638477801268499,0.052854122621564525,-0.052854122621564525
contextual bandit task,exp4,contextual bandit task <-> exp4,0.32468982931733126,0.13220988792220734,0.06236786469344609,0.11416490486257928,0.051797040169133196,-0.051797040169133196
Contextual Bandit,exp5,Contextual Bandit <-> exp5,0.3065546100288379,0.1310694023772906,0.06025369978858351,0.11205073995771671,0.051797040169133196,-0.051797040169133196
choice task,gambling task,choice task <-> gambling task,0.43523866649765286,0.14207859696420333,0.11205073995771671,0.16279069767441862,0.05073995771670191,-0.05073995771670191
exp1,recent probes task,exp1 <-> recent probes task,0.6038968508368392,0.2234770241023556,0.5687103594080338,0.6183932346723044,0.04968287526427062,-0.04968287526427062
Recent Probes,exp,Recent Probes <-> exp,0.5523114020685606,0.1873374662336993,0.3678646934460888,0.4175475687103594,0.04968287526427062,-0.04968287526427062
Columbia Card Task (CCT),gambling task,Columbia Card Task (CCT) <-> gambling task,0.49807142184694186,0.1579721245507394,0.19556025369978858,0.2452431289640592,0.04968287526427062,-0.04968287526427062
Columbia Card Task (CCT),Recent Probes,Columbia Card Task (CCT) <-> Recent Probes,0.7093384269791381,0.35637050847725893,0.857293868921776,0.9069767441860465,0.04968287526427051,-0.04968287526427051
exp0,recent probes task,exp0 <-> recent probes task,0.7036096421231242,0.3309553398213114,0.846723044397463,0.8953488372093024,0.04862579281183932,-0.04862579281183932
Associative Recognition (Intact vs Rearranged),exp2,Associative Recognition... <-> exp2,0.7894588968765293,0.5276193812224337,0.9460887949260042,0.9936575052854123,0.04756871035940813,-0.04756871035940813
contextual bandit task,exp5,contextual bandit task <-> exp5,0.29090873294456454,0.12876396931530765,0.056025369978858354,0.10359408033826638,0.047568710359408024,-0.047568710359408024
Associative Recognition (Intact vs Rearranged),exp5,Associative Recognition... <-> exp5,0.7780066241312865,0.48649745226761765,0.9334038054968288,0.9809725158562368,0.04756871035940802,-0.04756871035940802
Balloon Analogue Risk Task (BART),two-armed bandit task,Balloon Analogue Risk T... <-> two-armed bandit task,0.5807460778021436,0.20904604299188212,0.4799154334038055,0.5274841437632135,0.04756871035940802,-0.04756871035940802
exp2,exp5,exp2 <-> exp5,0.6817249431871942,0.29444749113163216,0.7991543340380549,0.8456659619450317,0.04651162790697683,-0.04651162790697683
Associative Recognition (Intact vs Rearranged),Go/No-Go (withhold),Associative Recognition... <-> Go/No-Go (withhold),0.7220826639303435,0.41824629529313095,0.8784355179704016,0.9249471458773785,0.04651162790697683,-0.04651162790697683
Associative Recognition (Intact vs Rearranged),exp3,Associative Recognition... <-> exp3,0.7961498146270839,0.543551169420267,0.9513742071881607,0.9978858350951374,0.046511627906976716,-0.046511627906976716
Two-Step Task (Daw),go/no-go task,Two-Step Task (Daw) <-> go/no-go task,0.6031382664359484,0.22283939868532243,0.5676532769556025,0.6120507399577167,0.044397463002114224,-0.044397463002114224
choice task,exp,choice task <-> exp,0.5139218990273315,0.16529567879218265,0.23784355179704017,0.2822410147991543,0.04439746300211414,-0.04439746300211414
Associative Recognition (Intact vs Rearranged),go/no-go,Associative Recognition... <-> go/no-go,0.7209933421969814,0.41512114836006664,0.8763213530655392,0.9207188160676533,0.04439746300211411,-0.04439746300211411
Associative Recognition (Intact vs Rearranged),go/no-go task,Associative Recognition... <-> go/no-go task,0.7226405404801148,0.41719872605565955,0.879492600422833,0.9228329809725159,0.04334038054968292,-0.04334038054968292
Verbal Digit/Letter WM,weather prediction task,Verbal Digit/Letter WM <-> weather prediction task,0.523593926615916,0.16951032042922043,0.26109936575052856,0.3044397463002114,0.043340380549682866,-0.043340380549682866
Associative Recognition (Intact vs Rearranged),columbia card task,Associative Recognition... <-> columbia card task,0.7944283257280269,0.5264982408423877,0.9503171247357294,0.992600422832981,0.04228329809725162,-0.04228329809725162
Associative Recognition (Intact vs Rearranged),Columbia Card Task (CCT),Associative Recognition... <-> Columbia Card Task (CCT),0.7974173375785555,0.5279851410998972,0.9534883720930233,0.9947145877378436,0.04122621564482032,-0.04122621564482032
associative recognition,exp5,associative recognition <-> exp5,0.7836021468185739,0.4848160243288654,0.9386892177589852,0.9799154334038055,0.04122621564482032,-0.04122621564482032
Multi-Step Sequential RL (3+ states),Two-Step Task (Daw),Multi-Step Sequential R... <-> Two-Step Task (Daw),0.4828490869480796,0.15120681785178725,0.1649048625792812,0.20507399577167018,0.04016913319238899,-0.04016913319238899
columbia card task,gambling task,columbia card task <-> gambling task,0.4977514979258355,0.1560672707650408,0.1945031712473573,0.23361522198731502,0.039112050739957716,-0.039112050739957716
associative recognition,exp2,associative recognition <-> exp2,0.7992573185211735,0.528477652054584,0.9566596194503171,0.9957716701902748,0.039112050739957716,-0.039112050739957716
Go/No-Go (withhold),route learning,Go/No-Go (withhold) <-> route learning,0.582818195766754,0.20981968222079628,0.492600422832981,0.5317124735729387,0.039112050739957716,-0.039112050739957716
contextual bandit task,recent probes task,contextual bandit task <-> recent probes task,0.6006905977889632,0.2205853354953914,0.5613107822410148,0.6004228329809725,0.039112050739957716,-0.039112050739957716
choice task,n-back,choice task <-> n-back,0.5838448455479929,0.21009139790642728,0.49577167019027485,0.5338266384778013,0.03805496828752647,-0.03805496828752647
Verbal Digit/Letter WM,Weather Prediction Task (Cards),Verbal Digit/Letter WM <-> Weather Prediction Task...,0.5238306686789391,0.16921877632682802,0.2632135306553911,0.3012684989429176,0.03805496828752647,-0.03805496828752647
iowa gambling task,multi-step sequential decision task,iowa gambling task <-> multi-step sequential d...,0.5144408546804599,0.16383766578544012,0.23890063424947147,0.2758985200845666,0.03699788583509514,-0.03699788583509514
gambling task,intertemporal choice,gambling task <-> intertemporal choice,0.4524937115577361,0.1409674000845006,0.12050739957716702,0.15750528541226216,0.03699788583509514,-0.03699788583509514
Verbal Digit/Letter WM,columbia card task,Verbal Digit/Letter WM <-> columbia card task,0.656461098818997,0.25594663157834463,0.7304439746300211,0.766384778012685,0.03594080338266392,-0.03594080338266392
exp7,n-back,exp7 <-> n-back,0.5507110274339463,0.18406370494962554,0.3572938689217759,0.39323467230443976,0.035940803382663866,-0.035940803382663866
Two-Armed Bandit,route learning,Two-Armed Bandit <-> route learning,0.5954764061038973,0.2173751054252434,0.5433403805496829,0.5792811839323467,0.03594080338266381,-0.03594080338266381
Go/No-Go (withhold),choice task,Go/No-Go (withhold) <-> choice task,0.5118686766737222,0.1615910702564617,0.22832980972515857,0.2632135306553911,0.03488372093023254,-0.03488372093023254
Fixed-Set Intertemporal Choice,exp4,Fixed-Set Intertemporal... <-> exp4,0.4718301631220705,0.1464798157567444,0.14799154334038056,0.1828752642706131,0.03488372093023254,-0.03488372093023254
Contextual Bandit,Recent Probes,Contextual Bandit <-> Recent Probes,0.6065282670463195,0.22330536375876242,0.5792811839323467,0.6141649048625792,0.03488372093023251,-0.03488372093023251
Balloon Analogue Risk Task (BART),Unidimensional Threshold Rule,Balloon Analogue Risk T... <-> Unidimensional Threshol...,0.7024200008132944,0.31145194860386394,0.8446088794926004,0.8784355179704016,0.03382663847780121,-0.03382663847780121
Weather Prediction Task (Cards),gambling task,Weather Prediction Task... <-> gambling task,0.5449513471662375,0.17910209771253927,0.33509513742071884,0.3678646934460888,0.03276955602536996,-0.03276955602536996
columbia card task,recent probes task,columbia card task <-> recent probes task,0.7177104788204582,0.35208767156768805,0.872093023255814,0.9038054968287527,0.031712473572938715,-0.031712473572938715
