outcome_key,outcome_label,median_selected_r,median_reference_r,median_delta_r,median_selected_r2,median_reference_r2,directional_wins,repeat_count,conditional_one_sided_p,comparison_role
cognition,Cognition,0.33174780107262158,0.2352088069391679,0.098272051887390161,0.10729719698505963,0.0085705596677767559,10,10,0.0060000000000000001,frozen conditional paired sensitivity
tobacco_use,Tobacco Use,0.24239989546724552,0.12601448273162491,0.10044346121215855,0.056837272074812706,-0.02922570351405307,10,10,,frozen no-retuning transfer
personality_emotion,Personality and Emotion,0.074892402530698399,0.0058915115116964269,0.068324072140659733,-0.018969388043450053,-0.058409029482875297,9,10,,frozen no-retuning transfer
illicit_drug_use,Illicit Drug Use,0.12195385149505281,0.0077264837816467336,0.11682188217175205,-0.0025912367164933614,-0.044023766079785753,10,10,,frozen no-retuning transfer
mental_health,Mental Health,0.00078326418688224784,-0.062029505045767215,0.069278037544257418,-0.047221283435600281,-0.046416109306580577,8,10,,frozen no-retuning transfer
